<<<<<<< HEAD
100	0.0042723
500	0.0323363
900	0.0669682
1300	0.107382
1700	0.14194
2100	0.192774
2500	0.229328
2900	0.271262
3300	0.318554
3700	0.362358
4100	0.502059
4500	0.469786
4900	0.502124
5300	0.561382
5700	0.601716
6100	0.671267
6500	0.71079
6900	0.762817
7300	0.808455
7700	0.877639
8100	0.907916
8500	0.976671
8900	1.01598
9300	1.08062
9700	1.14059
=======
1000	0.378377
5000	0.802091
9000	1.29042
13000	1.98176
17000	2.75047
21000	3.70321
25000	4.50445
29000	5.23653
33000	6.26093
37000	7.22028
41000	9.40094
45000	8.71188
49000	9.60288
53000	10.8874
57000	11.3614
61000	12.2548
65000	14.0009
69000	15.1811
73000	15.217
77000	15.9379
81000	16.8262
85000	19.2301
89000	18.942
93000	19.4986
97000	20.7536
>>>>>>> 897a5cc9df88212c7498fc00524caf98f8533e2f
