<<<<<<< HEAD
100	0.00799106
500	0.0533197
900	0.105056
1300	0.159851
1700	0.218749
2100	0.268048
2500	0.329904
2900	0.39074
3300	0.453562
3700	0.515646
4100	0.578349
4500	0.634063
4900	0.714334
5300	0.767332
5700	0.81812
6100	0.904884
6500	0.967395
6900	1.02773
7300	1.10644
7700	1.15485
8100	1.21803
8500	1.30073
8900	1.34524
9300	1.41292
9700	1.49163
=======
1000	0.157659
5000	1.00153
9000	1.87047
13000	2.75443
17000	3.72744
21000	4.72808
25000	5.73677
29000	6.78485
33000	7.60523
37000	8.76685
41000	9.61918
45000	10.8481
49000	11.7718
53000	12.7532
57000	13.8245
61000	15.0392
65000	16.0643
69000	17.0749
73000	18.2005
77000	20.0753
81000	20.9914
85000	22.5033
89000	23.0015
93000	23.9615
97000	25.0783
>>>>>>> 897a5cc9df88212c7498fc00524caf98f8533e2f
