<<<<<<< HEAD
100	0.00027136
500	0.0025971
900	0.00212926
1300	0.00299702
1700	0.00392966
2100	0.00489394
2500	0.00573572
2900	0.0066277
3300	0.00752954
3700	0.00845804
4100	0.00937858
4500	0.0103959
4900	0.0111969
5300	0.0120066
5700	0.0130071
6100	0.0138985
6500	0.014879
6900	0.0162743
7300	0.0169451
7700	0.0213331
8100	0.0184742
8500	0.0193138
8900	0.0203622
9300	0.0213636
9700	0.0220825
=======
1000	0.00513964
5000	0.0173581
9000	0.031413
13000	0.0422332
17000	0.057091
21000	0.066775
25000	0.0874353
29000	0.0966432
33000	0.1065
37000	0.124142
41000	0.133163
45000	0.14363
49000	0.161032
53000	0.170641
57000	0.188971
61000	0.194988
65000	0.212461
69000	0.227684
73000	0.247811
77000	0.256625
81000	0.266098
85000	0.286337
89000	0.292942
93000	0.316451
97000	0.315603
>>>>>>> 897a5cc9df88212c7498fc00524caf98f8533e2f
